kanji;kana;english;class
我慢;がまん;patience, endurance;Verbal Noun
国籍;こくせき;nationality, citizenship;Noun
恥ずかしい;はずかしい;embarrassed, ashamed;Adjective
ボタン;ぼたん;button;Noun
洋服;ようふく;(western-style) clothes;Noun
油;あぶら;oil;Noun
おかしい;おかしい;funny, comical;Adjective
余る;あまる;remain, be in excess;Verb
コート;こーと;sports court;Noun
正直;しょうじき;honest, upright;Adjectival Noun
ドラマ;どらま;drama;Noun
ビザ;びざ;visa;Noun
水道;すいどう;water service, channel;Noun
店員;てんいん;clerk, salesperson;Noun
電池;でんち;battery;Noun
ポケット;ぽけっと;pocket;Noun
握手;あくしゅ;handshake;Verbal Noun
そろそろ;そろそろ;soon, it's about time;Adverb
ぶどう;ぶどう;grapes;Noun
迷う;まよう;get lost;Verb
見物;けんぶつ;sightseeing, visit;Verbal Noun
知らせる;しらせる;let know, inform;Verb
神社;じんじゃ;Shinto shrine;Noun
注射;ちゅうしゃ;injection, shot;Verbal Noun
めったに;めったに;rarely, seldom;Adverb
作文;さくぶん;composition, essay;Noun
鳴る;なる;sound, ring;Verb
真面目;まじめ;serious and sincere;Adjectival Noun
申し込む;もうしこむ;apply, sign up;Verb
冷蔵庫;れいぞうこ;refrigerator;Noun
気に入る;きにいる;like, become fond of;Verb
クリスマス;くりすます;Christmas;Noun
ネクタイ;ねくたい;tie, necktie;Noun
誕生日;たんじょうび;birthday;Noun
独身;どくしん;single, unmarried;Noun
苦い;にがい;bitter;Adjective
バイオリン;ばいおりん;violin;Noun
バッグ;ばっぐ;bag;Noun
今まで;いままで;until now;Adverb
切符;きっぷ;ticket;Noun
ゴム;ごむ;elastic, rubber;Noun
少々;しょうしょう;a little, a bit;Adverb
随分;ずいぶん;extremely, considerably;Adverb
引っ張る;ひっぱる;pull, drag;Verb
焼ける;やける;burn, cook;Verb
鉛筆;えんぴつ;pencil;Noun
会話;かいわ;conversation;Verbal Noun
ギター;ぎたー;guitar;Noun
茶;ちゃ;tea (plain form);Noun
暑さ;あつさ;heat (of weather);Noun
胃;い;stomach;Noun
禁煙;きんえん;non-smoking;Verbal Noun
丸い;まるい;round;Adjective
写る;うつる;be taken , come out (in photograph);Verb
喫茶店;きっさてん;coffee shop, café;Noun
やっぱり;やっぱり;just as I thought, after all;Adverb
週刊誌;しゅうかんし;weekly magazine;Noun
棚;たな;shelf, rack;Noun
震える;ふるえる;tremble, shake;Verb
磨く;みがく;polish, grind, brush;Verb
カーテン;かーてん;curtain;Noun
火事;かじ;fire, blaze;Noun
ナイフ;ないふ;knife;Noun
皆さん;みなさん;everybody, everyone (polite);Noun
受ける;うける;receive, take, undergo;Verb
付く;つく;stick to, cling to;Verb
私;わたくし;I (formal);Noun
結構;けっこう;quite;Adverb
悪口;わるくち;slander, abuse;Noun
広まる;ひろまる;spread, get around;Verb
内緒;ないしょ;secrecy, privacy;Noun
つぶる;つぶる;close (eyes);Verb
用件;ようけん;matter, things to be done;Noun
ロマンチック;ろまんちっく;romantic;Adjective
貯金;ちょきん;money saved up;Verbal Noun
バイク;ばいく;motorcycle;Noun
預かる;あずかる;take care of, keep;Verb
オレンジ;おれんじ;orange;Noun
噛む;かむ;bite, chew;Verb
きつい;きつい;tight, tough;Adjective
越える;こえる;go over, go across;Verb
小包;こづつみ;parcel, package;Noun
新年;しんねん;new year;Noun
配達;はいたつ;delivery;Verbal Noun
動物園;どうぶつえん;zoo;Noun
封筒;ふうとう;envelope;Noun
危ない;あぶない;dangerous;Adjective
テキスト;てきすと;text, textbook;Noun
ビニール;びにーる;plastic, vinyl;Noun
アルバム;あるばむ;album;Noun
水泳;すいえい;swimming;Verbal Noun
混む;こむ;be crowded, be congested;Verb
スカート;すかーと;skirt;Noun
取れる;とれる;come off, be removed;Verb
ペン;ぺん;pen;Noun
物;もの;thing, object;Noun
郵便;ゆうびん;mail service, postal mail;Noun
割れる;われる;crack, split;Verb
駅員;えきいん;station attendant;Noun
おしゃべり;おしゃべり;talkative, chatty;Adjective
緑色;みどりいろ;green color;Noun
毎朝;まいあさ;every morning;Noun
曲げる;まげる;bend (something);Verb
きっと;きっと;surely, certainly;Adverb
理科;りか;science (school subject);Noun
下着;したぎ;underwear;Noun
太る;ふとる;grow fat, gain weight;Verb
冷房;れいぼう;air conditioning (cooling);Verbal Noun
別れる;わかれる;separate, part;Verb
空く;あく;become available or vacant;Verb
出掛ける;でかける;go out, leave home;Verb
毎晩;まいばん;every evening;Noun
指輪;ゆびわ;ring;Noun
腐る;くさる;rot, go bad;Verb
貧乏;びんぼう;poverty, destitution;Adjectival Noun
おしゃれ;おしゃれ;trendy, fashionable;Verbal Noun
休憩;きゅうけい;break, rest;Verbal Noun
舌;した;tongue;Noun
ジュース;じゅーす;juice;Noun
ゼロ;ぜろ;zero, none (loan word);Noun
朝刊;ちょうかん;morning edition paper;Noun
丁寧;ていねい;polite, careful;Adjectival Noun
苦手;にがて;not good at, be bad at;Adjectival Noun
日;ひ;(specific) day, sun, daytime;Noun
引っ越し;ひっこし;moving (house);Verbal Noun
歩道;ほどう;sidewalk, pavement;Noun
折れる;おれる;break, snap;Verb
見送り;みおくり;send-off;Verbal Noun
夕刊;ゆうかん;evening edition paper;Noun
この間;このあいだ;the other day, not so long ago;Noun
冷える;ひえる;cool down, get chilled;Verb
ピンク;ぴんく;pink;Noun
グラス;ぐらす;glass;Noun
毛;け;hair, down;Noun
黒板;こくばん;blackboard;Noun
積もる;つもる;pile up;Verb
半年;はんとし;half a year;Noun
現在;げんざい;the present, present time;Noun
利用;りよう;utilization, usage;Verbal Noun
方法;ほうほう;method, procedure;Noun
中心;ちゅうしん;center (of a circle, etc.), core;Noun
明らか;あきらか;clear, obvious;Adjectival Noun
社長;しゃちょう;president (of a company);Noun
ほぼ;ほぼ;almost, nearly;Adverb
商品;しょうひん;goods, commodities;Noun
大型;おおがた;large, large scale;Noun
限る;かぎる;be limited to;Verb
記録;きろく;record, documentation;Verbal Noun
具体的;ぐたいてき;concrete, specific;Adjectival Noun
効果;こうか;effect, result;Noun
公開;こうかい;opening (to the public);Verbal Noun
作品;さくひん;work of art, creation;Noun
迫る;せまる;close in on, approach;Verb
大会;たいかい;tournament, event;Noun
背景;はいけい;background, backdrop;Noun
文字;もじ;character, letter, writing;Noun
規則;きそく;rule, regulation;Noun
近所;きんじょ;neighborhood;Noun
グラフ;ぐらふ;chart, graph;Noun
首都;しゅと;capital;Noun
減らす;へらす;reduce (something);Verb
隠れる;かくれる;hide;Verb
美術館;びじゅつかん;art museum;Noun
ばか;ばか;foolish, stupid;Adjectival Noun
暇;ひま;free time, spare time;Noun
絵葉書;えはがき;picture postcard;Noun
あんなに;あんなに;that much, such;Adverb
行き;いき;going, outbound (flight, train, etc.);Noun
通勤;つうきん;commute;Verbal Noun
ちゃんと;ちゃんと;correctly, properly;Adverb
のんびり;のんびり;in a relaxed manner, leisurely;Adverb
緊張;きんちょう;tension, strain;Verbal Noun
気付く;きづく;notice, realize;Verb
物語;ものがたり;story, tale;Noun
出口;でぐち;exit;Noun
登る;のぼる;climb, ascend;Verb
真っ白;まっしろ;pure-white;Adjectival Noun
下ろす;おろす;bring down, take down;Verb
貸し出す;かしだす;lend, lend out;Verb
サッカー;さっかー;soccer, football;Noun
暖房;だんぼう;heating;Verbal Noun
手袋;てぶくろ;gloves;Noun
留守;るす;not at home;Noun
嘘;うそ;lie;Noun
遠慮;えんりょ;restraint, hold back;Verbal Noun
折る;おる;break (something), fold (something);Verb
スープ;すーぷ;soup;Noun
バナナ;ばなな;banana;Noun
可哀相;かわいそう;poor, pitiful;Adjectival Noun
パトカー;ぱとかー;police car;Noun
ハンバーガー;はんばーがー;hamburger;Noun
毛布;もうふ;blanket;Noun
エスカレーター;えすかれーたー;escalator;Noun
お嬢さん;おじょうさん;young lady, daughter;Noun
手帳;てちょう;pocket notebook;Noun
タオル;たおる;towel;Noun
売店;ばいてん;booth, shop;Noun
パチンコ;ぱちんこ;pachinko (Japanese pinball);Noun
謝る;あやまる;apologize;Verb
ケーキ;けーき;cake;Noun
天気予報;てんきよほう;weather forecast;Noun
変;へん;strange, weird;Adjectival Noun
一生懸命;いっしょうけんめい;hard-working, doing one's best;Adjectival Noun
間違う;まちがう;make a mistake, be wrong;Verb
事務室;じむしつ;clerk's office, office room;Noun
スーツ;すーつ;suit;Noun
チケット;ちけっと;ticket (loan word);Noun
チョコレート;ちょこれーと;chocolate;Noun
脱ぐ;ぬぐ;take off (clothes);Verb
年賀状;ねんがじょう;New Year's card;Noun
乗り物;のりもの;vehicle, transportation;Noun
布団;ふとん;Japanese-style padded mattress;Noun
役に立つ;やくにたつ;be useful, be helpful;Verb
破れる;やぶれる;be torn, be ripped up;Verb
用事;ようじ;errand, business;Noun
写す;うつす;copy, photograph;Verb
腕時計;うでどけい;wrist watch;Noun
贈り物;おくりもの;present, gift;Noun
チャンネル;ちゃんねる;channel;Noun
冷やす;ひやす;chill (something), cool down;Verb
片付ける;かたづける;put in order, clean up;Verb
乾杯;かんぱい;toast, drink (in celebration);Verbal Noun
停車;ていしゃ;stop (of a train);Verbal Noun
鳴く;なく;sing, cry (of animals);Verb
ガソリンスタンド;がそりんすたんど;gas station;Noun
片道;かたみち;one way (trip);Noun
交番;こうばん;police box;Noun
大分;だいぶ;greatly, fairly, highly;Adverb
デート;でーと;date, romantic meeting;Verbal Noun
梅雨;つゆ;rainy season;Noun
真っ直ぐ;まっすぐ;straight;Adverb
レモン;れもん;lemon;Noun
上着;うわぎ;outerwear, coat, jacket;Noun
偉い;えらい;great, eminent;Adjective
書き方;かきかた;how to write, way of writing;Noun
炊く;たく;cook (rice);Verb
チーズ;ちーず;cheese;Noun
ドライブ;どらいぶ;drive (loan word);Verbal Noun
踏切;ふみきり;railroad crossing;Noun
ラケット;らけっと;racket;Noun
受付;うけつけ;receptionist, information office;Noun
怒る;おこる;get angry, scold;Verb
化粧;けしょう;makeup;Verbal Noun
都合;つごう;convenience, availability;Noun
ひげ;ひげ;beard, moustache;Noun
本棚;ほんだな;bookshelf, bookcase;Noun
真っ暗;まっくら;pitch-dark;Adjectival Noun
沸く;わく;boil, get loud (crowd applause etc.);Verb
売り切れる;うりきれる;sell out, go out of stock;Verb
押し入れ;おしいれ;sliding-door closet;Noun
革;かわ;leather;Noun
ぐっすり;ぐっすり;soundly;Adverb
紅茶;こうちゃ;black tea;Noun
邪魔;じゃま;disturbance, blocking;Adjectival Noun
ソース;そーす;sauce;Noun
足す;たす;add (things of the same kind);Verb
トマト;とまと;tomato;Noun
バター;ばたー;butter;Noun
発車;はっしゃ;departure (of a vehicle);Verbal Noun
バレーボール;ばれーぼーる;volleyball;Noun
おかず;おかず;dishes to go with the rice;Noun
カレンダー;かれんだー;calendar;Noun
とにかく;とにかく;in any case, anyway;Adverb
楽しみ;たのしみ;enjoyment, something looked forward to;Noun
おしゃべり;おしゃべり;chatter, idle talk;Noun
読書;どくしょ;reading books;Verbal Noun
寒気;さむけ;chill;Noun
夕焼け;ゆうやけ;sunset glow;Noun
痛める;いためる;damage, hurt;Verb
くすぐったい;くすぐったい;ticklish;Adjective
泥棒;どろぼう;thief, burglar;Verbal Noun
襖;ふすま;paper sliding door;Noun
美人;びじん;beautiful woman;Noun
タイプライター;たいぷらいたー;typewriter;Noun
再来年;さらいねん;the year after next;Noun
冗談;じょうだん;joke;Noun
近づく;ちかづく;approach, come close;Verb
電話帳;でんわちょう;telephone book;Noun
ベル;べる;bell;Noun
干す;ほす;hang (something) out to dry;Verb
金額;きんがく;amount of money, sum;Noun
蚊;か;mosquito;Noun
悲しむ;かなしむ;feel sad, lament;Verb
