kanji;kana;english;class
箱;はこ;box;Noun
箱;はこ; case;Noun
右手;みぎて;right hand;Noun
右手;みぎて; the right hand side;Noun
左手;ひだりて;left hand;Noun
プール;ぷーる;pool;Noun
ピアノ;ぴあの;piano;Noun
光る;ひかる;shine;Verb
光る;ひかる; emit light;Verb
光る;ひかる; sparkle;Verb
踏む;ふむ;step on;Verb
踏む;ふむ; tread on;Verb
別々;べつべつ;separately;Adjectival Noun
ボール;ぼーる;ball;Noun
握る;にぎる;grasp;Verb
握る;にぎる; grip;Verb
握る;にぎる; hold;Verb
真っ赤;まっか;deep red;Adjectival Noun
拾う;ひろう;pick up;Verb
回す;まわす;turn;Verb
回す;まわす; rotate (something);Verb
ノート;のーと;notebook (loan word);Noun
辞める;やめる;resign;Verb
辞める;やめる; leave (one's job);Verb
辞める;やめる; quit;Verb
揺れる;ゆれる;shake;Verb
揺れる;ゆれる; sway;Verb
立派;りっぱ;fine;Adjectival Noun
立派;りっぱ; elegant;Adjectival Noun
立派;りっぱ; magnificent;Adjectival Noun
練習;れんしゅう;practice;Verbal Noun
練習;れんしゅう; training;Verbal Noun
割る;わる;divide;Verb
割る;わる; split;Verb
割る;わる; break;Verb
部分;ぶぶん;part;Noun
部分;ぶぶん; section;Noun
拭く;ふく;wipe;Verb
拭く;ふく; dry;Verb
招く;まねく;invite;Verb
急;きゅう;urgent;Adjectival Noun
急;きゅう; steep;Adjectival Noun
汚れる;よごれる;become dirty;Verb
渡る;わたる;cross;Verb
渡る;わたる; go across;Verb
途中;とちゅう;on the way;Noun
途中;とちゅう; half way;Noun
インタビュー;いんたびゅー;interview (loan word);Verbal Noun
盗む;ぬすむ;steal;Verb
盗む;ぬすむ; rob;Verb
普段;ふだん;usual;Adverb
普段;ふだん; ordinary;Adverb
旅館;りょかん;Japanese inn;Noun
博物館;はくぶつかん;museum;Noun
ホーム;ほーむ;platform (for short);Noun
引っ越す;ひっこす;move;Verb
引っ越す;ひっこす; relocate;Verb
荷物;にもつ;baggage;Noun
荷物;にもつ; load;Noun
家賃;やちん;rent for a place to live;Noun
計画;けいかく;plan;Verbal Noun
廊下;ろうか;hallway;Noun
廊下;ろうか; corridor;Noun
天井;てんじょう;ceiling;Noun
ベッド;べっど;bed;Noun
ソファー;そふぁー;sofa;Noun
ソファー;そふぁー; couch;Noun
屋根;やね;roof;Noun
祭り;まつり;festival;Noun
離婚;りこん;divorce;Verbal Noun
葉;は;leaf;Noun
ボート;ぼーと;light boat;Noun
